"Bank Code,Bank Name"
"110072,78 FINANCE COMPANY LIMITED (BANK78)"
"110005,3LINE CARD MANAGEMENT LIMITED"
"120001,9 PAYMENT SOLUTIONS BANK"
"050005,AAA FINANCE AND INVESTMENT COMPANY LIMITED"
"090270,AB MICROFINANCE BANK"
"070010,ABBEY MORTGAGE BANK"
"090260,ABOVE ONLY MICROFINANCE BANK"
"090197,ABU MICROFINANCE BANK"
"090545,ABULESORO MICROFINANCE BANK"
"090202,ACCELEREX NETWORK LIMITED"
"000014,ACCESS BANK"
"100013,ACCESS MONEY"
"100052,ACCESS YELLO & BETA"
"000005,ACCESS(DIAMOND) BANK"
"090134,ACCION MICROFINANCE BANK"
"000109,ADA MICROFINANCE BANK"
"090160,ADDOSSER MICROFINANCE BANK"
"090268,ADEYEMI COLLEGE STAFF MICROFINANCE BANK"
"090155,ADVANS LA FAYETTE  MICROFINANCE BANK"
"090292,AFEKHAFE MICROFINANCE BANK"
"100028,AG MORTGAGE BANK"
"090371,AGOSASA MICROFINANCE BANK"
"090531,AKU MICROFINANCE"
"090561,AKUCHUKWU MICROFINANCE BANK"
"090133,AL-BARAKAH MICROFINANCE BANK"
"090259,ALEKUN MICROFINANCE BANK"
"090297,ALERT MICROFINANCE BANK"
"090277,AL-HAYAT MICROFINANCE BANK"
"090131,ALLWORKERS MICROFINANCE BANK"
"090548,ALLY MICROFINANCE BANK"
"090169,ALPHA KAPITAL MICROFINANCE BANK"
"000037,ALTERNATIVE BANK LIMITED"
"090489,ALVANA MICROFINANCE BANK"
"090394,AMAC MICROFINANCE BANK"
"090629,AMEGY MICROFINANCE BANK"
"090180,AMJU UNIQUE MICROFINANCE BANK"
"090116,AMML MICROFINANCE BANK"
"090529,AMPERSAND MICROFINANCE BANK (BANKLY)"
"090645,NOMBANK MICROFINANCE BANK"
"090476,ANCHORAGE MICROFINANCE BANK"
"090143,APEKS MICROFINANCE BANK"
"090376,APPLE MICROFINANCE BANK"
"090282,ARISE MICROFINANCE BANK"
"090001,ASO SAVINGS"
"090544,ASPIRE MICROFINANCE BANK"
"090287,ASSETMATRIX MICROFINANCE BANK"
"090172,ASTRAPOLARIS MICROFINANCE BANK"
"090451,ATBU MICROFINANCE BANK"
"090633,AWACASH MICROFINANCE BANK"
"090264,AUCHI MICROFINANCE BANK"
"090478,AVUENEGBE MICROFINANCE BANK"
"090625,BABURA MICROFINANCE BANK"
"090188,BAINES CREDIT MICROFINANCE BANK"
"090563,BALERA MICROFINANCE BANK"
"090181,BALOGUN FULANI MICROFINANCE BANK"
"090326,BALOGUN GAMBARI MICROFINANCE BANK"
"090581,BANC CORP MICROFINANCE BANK"
"090425,BANEX MICROFINANCE BANK"
"000107,BAOBAB MICROFINANCE BANK"
"090316,BAYERO UNIVERSITY MICROFINANCE BANK"
"090127,BC KASH MICROFINANCE BANK"
"090618,BERACHAH MICROFINANCE BANK"
"090615,BESTSTAR MICROFINANCE BANK"
"090336,BIPC MICROFINANCE BANK"
"090555,BISHOPGATE MICROFINANCE BANK"
"090117,BOCTRUST MICROFINANCE BANK LIMITED"
"090444,BOI MICROFINANCE BANK"
"090319,BONGHE MICROFINANCE BANK"
"090395,BORGU  MICROFINANCE BANK"
"090454,BORSTAL MICROFINANCE BANK"
"090176,BOSAK MICROFINANCE BANK"
"090148,BOWEN MICROFINANCE BANK"
"050006,BRANCH INTERNATIONAL FINANCIAL SERVICES"
"070015,BRENT MORTGAGE BANK"
"090293,BRETHREN MICROFINANCE BANK"
"090393,BRIDGEWAY MICROFINANACE BANK"
"090308,BRIGHTWAY MICROFINANCE BANK"
"090568,BROADVIEW MICROFINANCE BANK"
"090661,BUNDI MICROFINANCE BANK"
"090655,BUNKURE MICROFINANCE BANK"
"090406,BUSINESS SUPPORT MICROFINANCE BANK"
"090415,CALABAR MICROFINANCE BANK"
"090647,CANAAN MICROFINANCE BANK"
"090445,CAPSTONE MICROFINANCE BANK"
"100026,CARBON"
"090634,CASHBRIDGE MICROFINANCE BANK"
"090360,CASHCONNECT MICROFINANCE BANK"
"090649,CASHRITE MICROFINANCE BANK"
"090498,CATLAND MICROFINANCE BANK"
"090562,CEDAR MICROFINANCE BANK"
"100005,CELLULANT"
"090154,CEMCS MICROFINANCE BANK"
"000028,CENTRAL BANK OF NIGERIA"
"100015,CHAMS MOBILE"
"090397,CHANELLE MICROFINANCE BANK"
"090470,CHANGHAN RTS MICROFINANCE BANK"
"090440,CHERISH MICROFINANCE BANK"
"090416,CHIBUEZE MICROFINANCE BANK"
"090141,CHIKUM MICROFINANCE BANK"
"090490,CHUKWUNENYE MICROFINANCE BANK"
"090144,CIT MICROFINANCE BANK"
"000009,CITI BANK"
"090254,COALCAMP MICROFINANCE BANK"
"090374,COASTLINE MICROFINANCE BANK"
"090530,CONFIDENCE MICROFINANCE BANK"
"090553,CONSISTENT TRUST MICROFINANCE BANK"
"090130,CONSUMER MICROFINANCE BANK"
"070021,COOPERATIVE MORTGAGE BANK"
"090365,CORESTEP MICROFINANCE BANK"
"060001,CORONATION MERCHANT BANK"
"050001,COUNTY FINANCE LIMITED"
"070006,COVENANT MFB"
"090159,CREDIT AFRIQUE MICROFINANCE BANK"
"090611,CREDITVILLE MICROFINANCE BANK"
"090526,CRESCENT MICROFINANCE BANK"
"090429,CROSS RIVER MICROFINANCE BANK"
"110017,CROWDFORCE MICROFINANCE BANK"
"090414,CRUTECH MICROFINANCE BANK"
"050017,CS ADVANCE FINANCE COMPANY LIMITED"
"110014,CYBERSPACE LIMITED"
"090596,DAL MICROFINANCE BANK"
"090391,DAVODANI  MICROFINANCE BANK"
"090167,DAYLIGHT MICROFINANCE BANK"
"070023,DELTA TRUST MORTGAGE BANK"
"050013,DIGNITY FINANCE AND INVESTMENT LIMITED"
"090643,DIOBU MICROFINANCE BANK"
"090294,EAGLE FLIGHT MICROFINANCE BANK"
"100021,EARTHOLEUM"
"090156,E-BARCS MICROFINANCE BANK"
"050016,E-FINANCE"
"090427,EBONYI STATE MICROFINANCE BANK"
"000010,ECOBANK"
"100008,ECOBANK XPRESS ACCOUNT"
"100030,ECOMOBILE"
"090310,EDFIN MICROFINANCE BANK"
"090097,EKONDO MICROFINANCE BANK"
"090389,EK-RELIABLE MICROFINANCE BANK"
"090273,EMERALD MICROFINANCE BANK"
"090114,EMPIRE TRUST MICROFINANCE BANK"
"050012,ENCO FINANCE COMPANY LTD"
"000019,ENTERPRISE BANK"
"090656,ENTITY MICROFINANCE BANK"
"090189,ESAN MICROFINANCE BANK"
"090166,ESO-E MICROFINANCE BANK"
"100006,eTRANZACT"
"090572,EWT Microfinance Bank"
"090304,EVANGEL MICROFINANCE BANK"
"090332,EVERGREEN MICROFINANCE BANK"
"090541,EXCELLENT MICROFINANCE BANK"
"090328,EYOWO"
"090551,FairMoney"
"090330,FAME MICROFINANCE BANK"
"050009,FAST CREDIT LIMITED"
"090179,FAST MICROFINANCE BANK"
"060002,FBNQUEST MERCHANT BANK"
"100031,FCMB MOBILE"
"090290,FCT MICROFINANCE BANK"
"090398,FEDERAL POLYTECHNIC NEKEDE MICROFINANCE BANK"
"090318,FEDERAL UNIVERSITY DUTSE MICROFINANCE BANK"
"090482,FEDETH MICROFINANCE BANK"
"090298,FEDPOLY NASARAWA MICROFINANCE BANK"
"100001,FETS"
"050002,FEWCHORE FINANCE COMPANY LIMITED"
"090153,FFS MICROFINANCE BANK"
"000007,FIDELITY BANK"
"100019,FIDELITY MOBILE"
"090126,FIDFUND MICROFINANCE Bank"
"090111,FINATRUST MICROFINANCE BANK"
"090400,FINCA MICROFINANCE BANK"
"090366,FIRMUS MICROFINANCE BANK"
"110004,FIRST APPLE LIMITED"
"000016,FIRST BANK OF NIGERIA"
"000003,FIRST CITY MONUMENT BANK (FCMB)"
"070014,FIRST GENERATION MORTGAGE BANK"
"090479,FIRST HERITAGE MICROFINANCE BANK"
"090285,FIRST OPTION MICROFINANCE BANK"
"090164,FIRST ROYAL MICROFINANCE BANK"
"090107,FIRST TRUST MORTGAGE BANK PLC"
"100014,FIRSTMONIE WALLET"
"090614,FLOURISH MICROFINANCE BANK"
"110002,FLUTTERWAVE TECHNOLOGY SOLUTIONS LIMITED"
"090521,FORESIGHT MICROFINANCE BANK"
"070002,FORTIS MICROFINANCE BANK"
"100016,FORTIS MOBILE"
"090486,FORTRESS MICROFINANCE BANK"
"400001,FSDH"
"090145,FULLRANGE MICROFINANCE BANK"
"090438,FUTMINNA MICROFINANCE BANK"
"090158,FUTO MICROFINANCE BANK"
"090582,GABASAWA MICROFINANCE BANK"
"090591,GABSYN MICROFINANCE BANK"
"090484,GARKI MICROFINANCE BANK"
"090168,GASHUA MICROFINANCE BANK"
"070009,GATEWAY MORTGAGE BANK"
"090475,GIANT STRIDE MFB"
"090621,GIDAUNIYAR ALHERI MICROFINANCE BANK"
"090411,GIGINYA MICROFINANCE BANK"
"090186,GIREI MICROFINANACE BANK"
"090441,GIWA MICROFINANCE BANK"
"090639,GLOBAL INITIATIVE MICROFINANCE BANK"
"000027,GLOBUS BANK"
"090278,GLORY MICROFINANCE BANK"
"090408,GMB MICROFINANCE BANK"
"090586,GOMBE MICROFINANCE BANK LIMITED"
